name,name_jp,city,prefecture,primary_cat,price_tier,description,distinctive,source_url
Hoshinoya Karuizawa,星のや軽井沢,Karuizawa,Nagano,onsen_ryokan,luxury,"Riverside ryokan village in a wild bird sanctuary with 77 rooms spread along a river. On-site meditation baths, library, and zero-emission energy system.",Japan's first true eco-luxury ryokan; river-facing rooms and tombo-no-yu meditation onsen.,https://hoshinoresorts.com/en/hotels/hoshinoyakaruizawa/
Hoshinoya Kyoto,星のや京都,Kyoto,Kyoto,onsen_ryokan,luxury,Boat-access-only ryokan in Arashiyama. All rooms face the Oi River and feature traditional tatami living.,"Private river arrival, seasonal kaiseki, and 100% river-view design.",https://hoshinoresorts.com/en/hotels/hoshinoyakyoto/
Hoshinoya Tokyo,星のや東京,Chiyoda,Tokyo,onsen_ryokan,luxury,"High-rise ryokan in Otemachi with tatami corridors and 17th-floor onsen from 1,500m underground.",Modern interpretation of ryokan hospitality in central Tokyo; tatami-air corridor and rooftop onsen.,https://hoshinoresorts.com/en/hotels/hoshinoyatokyo/
Hoshinoya Fuji,星のや富士,Fujikawaguchiko,Yamanashi,glamping,luxury,Japan's first glamping resort on a hillside overlooking Lake Kawaguchi and Mt. Fuji. Cabin-style rooms with terrace dining.,"Glamping with hotel service; forest butlers, outdoor kitchens, and Mt. Fuji views.",https://hoshinoresorts.com/en/hotels/hoshinoyafuji/
Hoshinoya Okinawa,星のや沖縄,Yomitan,Okinawa,resort,luxury,"Oceanfront low-rise resort with 100 rooms, all with ocean views and private terraces.","Ryukyu Kingdom design language, year-round heated pool, and cliffside Banta Cafe.",https://hoshinoresorts.com/en/hotels/hoshinoyaokinawa/
Hoshinoya Taketomi Island,星のや竹富島,Taketomi,Okinawa,resort,luxury,Village-style resort on preserved Taketomi Island with Ryukyu red-tile houses.,Living inside a UNESCO-recognized traditional settlement; star-gazing and water buffalo carts.,https://hoshinoresorts.com/en/hotels/hoshinoyataketomijima/
KAI Tsugaru,界 津軽,Owani,Aomori,onsen_ryokan,upscale,Renovated hot spring ryokan facing the Tsugaru Four Seasons Water Garden.,Live Tsugaru shamisen performances nightly; apple-infused onsen baths.,https://hoshinoresorts.com/en/hotels/kaitsugaru/
KAI Alps,界 アルプス,Omachi,Nagano,mountain_lodge,upscale,Mountain ryokan on the Tateyama Kurobe Alpine Route approach.,Outdoor onsen with alpine views; focus on snow-country culture.,https://hoshinoresorts.com/en/hotels/kaialps/
KAI Sengokuhara,界 仙石原,Hakone,Kanagawa,onsen_ryokan,upscale,16-room atelier ryokan dedicated to Hakone marquetry.,Private outdoor baths in every room; daily tenugui dyeing workshops.,https://hoshinoresorts.com/en/hotels/kaisengokuhara/
KAI Kinugawa,界 鬼怒川,Nikko,Tochigi,onsen_ryokan,upscale,Ryokan along the Kinugawa River.,River-facing public bath and Tochigi hunter culture kaiseki.,https://hoshinoresorts.com/en/hotels/kaikinugawa/
KAI Nikko,界 日光,Nikko,Tochigi,onsen_ryokan,upscale,Lake Chuzenji-area ryokan with free breakfast and spa services.,Nikko cultural immersion; access to World Heritage shrines.,https://hoshinoresorts.com/en/hotels/kainikko/
KAI Ito,界 伊東,Ito,Shizuoka,onsen_ryokan,upscale,Hot spring ryokan with 30 signature rooms and waterfall-feature onsen.,Izu seafood kaiseki and camellia-oil cultural workshops.,https://hoshinoresorts.com/en/hotels/kaiito/
KAI Enshu,界 遠州,Hamamatsu,Shizuoka,onsen_ryokan,upscale,Lake Hamana ryokan with open-air onsen baths.,Tea ceremony and Shizuoka tea-pairing stay programs.,https://hoshinoresorts.com/en/hotels/kaienshu/
KAI Aso,界 阿蘇,Aso,Kumamoto,onsen_ryokan,upscale,"12 villa-style ryokans inside Aso-Kuju National Park, each with private hot spring.",Caldera views and Learn & Drink caldera shochu program.,https://hoshinoresorts.com/en/hotels/kaiaso/
KAI Kirishima,界 霧島,Kirishima,Kagoshima,onsen_ryokan,upscale,Sulfur-spring ryokan with Sakurajima views.,"Every room faces Sakurajima volcano, monorail to bathhouse in silvergrass field",https://hoshinoresorts.com/en/hotels/kaikirishima/
